nome,cnpj,inscricao_estadual,data_abertura,site,email,cep,endereco,numero,bairro,cidade,estado,telefone,celular,nome_fantasia
Murilo e Tomás Pizzaria ME,03232143000117,98249168,03/01/2019,www.muriloetomaspizzariame.com.br,cobranca@muriloetomaspizzariame.com.br,22793-144,Rua Olmar da Silveira,567,Barra da Tijuca,Rio de Janeiro,RJ,(21) 3875-7500,(21) 99602-7668,Murilo e Tomás Pizzaria
Lívia e Davi Consultoria Financeira Ltda,30202093000106,44961741,07/12/2019,www.liviaedaviconsultoriafinanceiraltda.com.br,ouvidoria@liviaedaviconsultoriafinanceiraltda.com.br,23040-005,Rua Consolação,456,Campo Grande,Rio de Janeiro,RJ,(21) 2649-8393,(21) 99639-4685,Lívia e Davi
Louise e Mário Pães e Doces ME,17564382000189,156140047,09/06/2019,www.louiseemariopaesedocesme.com.br,pesquisa@louiseemariopaesedocesme.com.br,72871-812,Quadra Quadra 18,261,Nova Vila Guaíra,Valparaíso de Goiás,GO,(61) 3611-7359,(61) 99393-3969,Louise e Mário Pães
Ricardo e Juliana Comercio de Bebidas ME,18228125000139,71455980,21/01/2019,www.ricardoejulianacomerciodebebidasme.com.br,treinamento@ricardoejulianacomerciodebebidasme.com.br,27113-250,Rua José Arlindo,660,Belvedere da Taquara,Barra do Piraí,RJ,(24) 2684-3971,(24) 99474-7769,Ricardo e Juliana Comercio
Caleb e Samuel Limpeza Ltda,28611166000163,109914244,26/07/2019,www.calebesamuellimpezaltda.com.br,producao@calebesamuellimpezaltda.com.br,74370-635,Rua JBC 11,345,Residencial Brasil Central,Goiânia,GO,(62) 2644-8212,(62) 98156-4297,Caleb e Samuel
Raquel e Alice Joalheria ME,89639157000175,111237459,19/08/2019,www.raquelealicejoalheriame.com.br,pesquisa@raquelealicejoalheriame.com.br,72865-081,Quadra Quadra 81,904,Jardim Lago Azul,Novo Gama,GO,(61) 3802-9969,(61) 99464-9862,Raquel e Alice
Maya e Lúcia Consultoria Financeira ME,03903566000111,0709941700184,13/03/2019,www.mayaeluciaconsultoriafinanceirame.com.br,vendas@mayaeluciaconsultoriafinanceirame.com.br,72230-531,Quadra EQNP 8/12 Módulo A,280,Ceilândia Sul (Ceilândia),Brasília,DF,(61) 2598-3203,(61) 98381-3512,Maya e Lúcia
Noah e Mário Consultoria Financeira ME,78407635000103,0737261800128,13/09/2019,www.noahemarioconsultoriafinanceirame.com.br,faleconosco@noahemarioconsultoriafinanceirame.com.br,72007-265,Rua Rua 10 Chácara 150,555,Setor Habitacional Vicente Pires,Brasília,DF,(61) 2970-3058,(61) 98869-1302,Noah e Mário Consultoria
Maya e Elisa Filmagens Ltda,81179063000159,98853820,02/06/2019,www.mayaeelisafilmagensltda.com.br,financeiro@mayaeelisafilmagensltda.com.br,26087-240,Rua Nelson Simões,611,Austin,Nova Iguaçu,RJ,(21) 3897-1908,(21) 99611-9857,Maya Filmagens
Lucca e Kevin Telecomunicações ME,72022142000160,74665179,23/02/2019,www.luccaekevintelecomunicacoesme.com.br,ti@luccaekevintelecomunicacoesme.com.br,24724-060,Rodovia Tronco Norte Fluminense,421,Laranjal,São Gonçalo,RJ,(21) 3795-4617,(21) 98771-8466,Lucca e Kevin
Gabrielly e Sérgio Limpeza ME,00364050000158,53751903,19/04/2019,www.gabriellyesergiolimpezame.com.br,seguranca@gabriellyesergiolimpezame.com.br,22291-090,Avenida João Luís Alves,615,Urca,Rio de Janeiro,RJ,(21) 2671-5561,(21) 99952-8058,Gabrielly Limpeza
Raimunda e Mateus Entulhos ME,16027142000182,73546222,09/06/2019,www.raimundaemateusentulhosme.com.br,orcamento@raimundaemateusentulhosme.com.br,27337-180,Rua dos Figos,580,Moinho de Vento,Barra Mansa,RJ,(24) 2957-1059,(24) 99533-9114,Raimunda Entulhos
Isaac e Giovana Corretores Associados Ltda,70593784000194,0723954300193,07/05/2019,www.isaacegiovanacorretoresassociadosltda.com.br,orcamento@isaacegiovanacorretoresassociadosltda.com.br,72318-500,Quadra QN 402,692,Samambaia Norte (Samambaia),Brasília,DF,(61) 2981-2614,(61) 99377-3602,Isaac e Giovana Corretores
Isis e Isabelle Marcenaria Ltda,16055863000104,0722024500122,27/04/2019,www.isiseisabellemarcenarialtda.com.br,tesouraria@isiseisabellemarcenarialtda.com.br,72621-115,Quadra Quadra 304 Conjunto 14-A,275,Recanto das Emas,Brasília,DF,(61) 3806-4799,(61) 98952-3462,Isis e Isabelle Marcenaria
Leonardo e Gabrielly Locações de Automóveis Ltda,59773543000194,155181840,10/09/2019,www.leonardoegabriellylocacoesdeautomoveisltda.com.br,contato@leonardoegabriellylocacoesdeautomoveisltda.com.br,74923-213,Rua 17 de Janeiro,938,Chácaras São Pedro,Aparecida de Goiânia,GO,(62) 3916-8021,(62) 99846-0891,Leonardo e Gabrielly Locações de Automóveis
Ricardo e Ruan Doces & Salgados ME,24331907000100,0758388800123,25/06/2019,www.ricardoeruandocessalgadosme.com.br,financeiro@ricardoeruandocessalgadosme.com.br,72546-801,Quadra QR 516 Conjunto A,610,Santa Maria,Brasília,DF,(61) 3848-4054,(61) 98775-2161,Ricardo e Ruan
Gustavo e Andreia Marketing ME,72820154000130,100895395,08/09/2019,www.gustavoeandreiamarketingme.com.br,marketing@gustavoeandreiamarketingme.com.br,72859-152,Quadra Quadra 152,489,Mansões de Recreio Estrela Dalva VIII,Luziânia,GO,(61) 2724-8419,(61) 99828-6789,Gustavo e Andreia
Cláudia e Eliane Fotografias Ltda,48517616000160,17198670,09/07/2019,www.claudiaeelianefotografiasltda.com.br,seguranca@claudiaeelianefotografiasltda.com.br,21635-160,Rua Elvio de Moura,335,Ricardo de Albuquerque,Rio de Janeiro,RJ,(21) 2923-6268,(21) 98666-2708,Cláudia e Eliane
Benjamin e Renan Filmagens Ltda,57404640000184,0796435900187,23/07/2019,www.benjaminerenanfilmagensltda.com.br,faleconosco@benjaminerenanfilmagensltda.com.br,72220-286,Quadra QNN 28 Área Especial F,432,Ceilândia Sul (Ceilândia),Brasília,DF,(61) 3938-0034,(61) 99379-4438,Benjamin Filmagens
Marcos Vinicius e Renato Publicidade e Propaganda Ltda,57769121000110,88541863,21/03/2019,www.marcosviniciuserenatopublicidadeepropagandaltda.com.br,qualidade@marcosviniciuserenatopublicidadeepropagandaltda.com.br,21041-590,Rua Celso de Maia Fonseca,590,Manguinhos,Rio de Janeiro,RJ,(21) 2664-7611,(21) 98462-4635,Marcos Vinicius e Renato Publicidade e Propaganda
Laís e Alexandre Padaria ME,23863944000198,54793502,18/11/2019,www.laisealexandrepadariame.com.br,fiscal@laisealexandrepadariame.com.br,25065-280,Rua Aldo Conceição,952,Vila Ouro Preto,Duque de Caxias,RJ,(21) 2891-4788,(21) 98617-6931,Laís e Alexandre Padaria
Levi e Bento Telecomunicações ME,88191551000120,116578378,05/10/2019,www.leviebentotelecomunicacoesme.com.br,sistema@leviebentotelecomunicacoesme.com.br,74335-102,Avenida T 63,563,Anhanguera,Goiânia,GO,(62) 3637-9542,(62) 99571-7900,Levi e Bento
Leonardo e Oliver Joalheria Ltda,72011385000101,54764324,09/10/2019,www.leonardoeoliverjoalherialtda.com.br,qualidade@leonardoeoliverjoalherialtda.com.br,26089-036,Rua A,772,Carlos Sampaio,Nova Iguaçu,RJ,(21) 2901-8113,(21) 98298-1975,Leonardo e Oliver Joalheria
Osvaldo e Gael Financeira Ltda,68096243000109,31889820,22/04/2019,www.osvaldoegaelfinanceiraltda.com.br,juridico@osvaldoegaelfinanceiraltda.com.br,20271-140,Praça Presidente Emílio Garrastazu Médici,796,Maracanã,Rio de Janeiro,RJ,(21) 2965-4115,(21) 98490-3934,Osvaldo e Gael
Analu e Sara Buffet ME,80806720000188,202697460,16/11/2019,www.analuesarabuffetme.com.br,rh@analuesarabuffetme.com.br,74481-740,Alameda Córrego Fundo,272,Residencial Mansões Paraíso,Goiânia,GO,(62) 3867-0606,(62) 98354-4570,Analu Buffet
Anthony e Mariane Pães e Doces Ltda,25307737000182,77812563,09/09/2019,www.anthonyemarianepaesedocesltda.com.br,almoxarifado@anthonyemarianepaesedocesltda.com.br,25630-050,Rua Augusto Severo,292,Morin,Petrópolis,RJ,(24) 3952-5292,(24) 98456-0503,Anthony e Mariane Pães e Doces
Louise e Luna Vidros Ltda,71774274000186,19190609,11/04/2019,www.louiseelunavidrosltda.com.br,contabil@louiseelunavidrosltda.com.br,26463-060,Rua Avelino Silva,498,Parque Luis Gonzaga,Japeri,RJ,(21) 3533-9150,(21) 98505-9910,Louise e Luna Vidros
